Election Year,Election Type,Provocation Description,Provocation Date
2/25/81,Presidential,Infiltration and Sinking of North Korean Vessel,12/2/80
3/25/81,National Assembly,Infiltration and Sinking of North Korean Vessel,6/21/81
3/25/81,National Assembly,NK Fires at U.S. Reconnaissance Plane,8/26/81
2/12/85,National Assembly,Infiltration and Incursion,8/5/83
2/12/85,National Assembly,Infiltration and Incursion,8/13/83
2/12/85,National Assembly,Explosion at U.S. Cultural Center in Taegu,9/22/83
2/12/85,National Assembly,The Rangoon Bombing,10/9/83
2/12/85,National Assembly,Infiltration and Incursion,12/3/83
2/12/85,National Assembly,Assault and Assassination Attempt,2/16/84
2/12/85,National Assembly,Short-Range Ballistic Missile Launch,4/1/84
2/12/85,National Assembly,Short-Range Ballistic Missile Launch,9/1/84
2/12/85,National Assembly,Assault and Assassination Attempt,9/24/84
2/12/85,National Assembly,Exchange of Fire (Ground),11/23/84
2/12/85,National Assembly,Short-Range Ballistic Missile Launch,6/7/85
2/12/85,National Assembly,Infiltration and Incursion,10/20/85
2/12/85,National Assembly,Exchange of Fire (Maritime),4/24/86
12/16/87,Presidential,Airport Terror Bombing,9/14/86
12/16/87,Presidential,Exchange of Fire (Ground),11/21/87
12/16/87,Presidential,Bombing of South Korean Civilian Aircraft,11/29/87
4/26/88,National Assembly,Bombing of South Korean Civilian Aircraft,11/29/87
4/26/88,National Assembly,Infiltration and Incursion,3/3/90
3/24/92,National Assembly,Medium-Range Ballistic Missile Launch,5/1/90
3/24/92,National Assembly,Short-Range Ballistic Missile Launch,6/1/90
3/24/92,National Assembly,Short-Range Ballistic Missile Launch,7/1/91
3/24/92,National Assembly,Infiltration and Incursion,5/22/92
3/24/92,National Assembly,Medium-range Ballistic Missile Launch,6/1/92
12/18/92,Presidential,Medium-Range Ballistic Missile Launch,5/29/93
12/18/92,Presidential,Medium-Range Ballistic Missile Launch,5/30/93
12/18/92,Presidential,Anti-Ship Cruise Missile Launch,5/31/94
12/18/92,Presidential,Anti-Ship Cruise Missile Launch,6/2/94
4/11/96,National Assembly,U.S. Helicopter Shot Down,12/17/94
4/11/96,National Assembly,Anti-Ship Cruise Missile Launch,3/31/95
4/11/96,National Assembly,Detainment of South Korean Vessel,8/1/95
4/11/96,National Assembly,Infiltration and Incursion,10/17/95
4/11/96,National Assembly,Infiltration and Incursion,10/25/95
4/11/96,National Assembly,Territorial Provocation (Ground),4/5/96
4/11/96,National Assembly,Territorial Provocation (Ground),4/6/96
4/11/96,National Assembly,Territorial Provocation (Ground),4/7/96
4/11/96,National Assembly,Infiltration and Incursion,9/18/96
4/11/96,National Assembly,Exchange of Fire (Ground),9/19/96
4/11/96,National Assembly,Exchange of Fire (Ground),9/21/96
4/11/96,National Assembly,Exchange of Fire (Ground),9/22/96
4/11/96,National Assembly,Exchange of Fire (Ground),9/28/96
4/11/96,National Assembly,Exchange of Fire (Ground),9/30/96
4/11/96,National Assembly,Exchange of Fire from Manhunt - Final Incident,11/5/96
12/19/97,Presidential,Exchange of Fire (Ground),4/10/97
12/19/97,Presidential,Anti-Ship Cruise Missile Launch,5/23/97
12/19/97,Presidential,Territorial Provocation (Maritime),6/5/97
12/19/97,Presidential,Exchange of Fire (Ground),7/16/97
12/19/97,Presidential,Infiltration and Incursion,6/22/98
12/19/97,Presidential,Infiltration and Incursion,7/12/98
12/19/97,Presidential,Intermediate-Range Ballistic Missile Launch,8/31/98
12/19/97,Presidential,Infiltration and Incursion,11/20/98
12/19/97,Presidential,Infiltration and Incursion,12/17/98
4/13/00,National Assembly,First Yeonpyeong Naval Campaign,6/15/99
4/13/00,National Assembly,NK Maritime Border Declaration,3/23/00
12/19/02,Presidential,Territorial Incursion (Ground),9/19/01
12/19/02,Presidential,Territorial Incursion (Ground),9/20/01
12/19/02,Presidential,Territorial Incursion (Maritime),12/22/01
12/19/02,Presidential,Second Yeonpyeong Naval Campaign,6/29/02
12/19/02,Presidential,Territorial Incursion (Air),2/20/03
12/19/02,Presidential,Anti-Ship Cruise Missile Launch,2/24/03
12/19/02,Presidential,Aircraft Interception,3/2/03
12/19/02,Presidential,Anti-Ship Cruise Missile Launch,3/10/03
12/19/02,Presidential,Territorial Incursion (Maritime),6/1/03
12/19/02,Presidential,Exchange of Fire (Ground),7/17/03
12/19/02,Presidential,Territorial Incursion (Maritime),8/8/03
4/15/04,National Assembly,Territorial Incursion (Maritime),8/23/03
4/15/04,National Assembly,Anti-Ship Cruise Missile Launch,10/20/03
4/15/04,National Assembly,Anti-Ship Cruise Missile Launch,5/1/05
12/19/07,Presidential,Short-Range Ballistic Missile Launch,3/7/06
12/19/07,Presidential,Inter-Continental Ballistic Missile/Short-Range Missile Launches,7/4/06
12/19/07,Presidential,Nuclear Test,10/9/06
12/19/07,Presidential,Short-Range Ballistic Missile Launch,5/25/07
12/19/07,Presidential,Anti-Ship Cruise Missile Launch,6/7/07
12/19/07,Presidential,Short-Range Ballistic Missile Launch,6/27/07
12/19/07,Presidential,Anti-Ship Cruise Missile Launch,3/28/08
4/9/08,National Assembly,Anti-Ship Cruise Missile Launch,3/28/08
4/9/08,National Assembly,Anti-Ship Cruise Missile Launch,5/30/08
4/9/08,National Assembly,Killing of South Korean Tourist at Mt. Kumgang Resort,7/11/08
4/9/08,National Assembly,Anti-Ship Cruise Missile Launch,10/7/08
4/9/08,National Assembly,Satellite Launch / ICBM Test,4/5/09
4/9/08,National Assembly,Nuclear Test / Short-Range Missile Launch,5/25/09
4/9/08,National Assembly,Short-Range Ballistic Missile Launch,5/26/09
4/9/08,National Assembly,Short-Range Ballistic Missile Launch,5/27/09
4/9/08,National Assembly,Short-Range Ballistic Missile Launch,5/29/09
4/9/08,National Assembly,Short-Range Ballistic Missile Launch,7/2/09
4/9/08,National Assembly,Medium-range Ballistic Missile Launch,7/4/09
4/9/08,National Assembly,Seizure of Fishing Boat at NLL,7/30/09
4/9/08,National Assembly,Short-Range Ballistic Missile Launch,10/12/09
4/9/08,National Assembly,Daecheong Naval Campaign,11/10/09
4/9/08,National Assembly,NK Declares No-Sail Zone,1/26/10
4/9/08,National Assembly,Artillery Fire,1/27/10
4/9/08,National Assembly,Artillery Fire,1/28/10
4/9/08,National Assembly,Artillery Fire,1/29/10
4/9/08,National Assembly,NK Declares No-Sail Zone,1/31/10
4/9/08,National Assembly,Sinking of the ROKS Cheonan,3/26/10
4/11/12,National Assembly,Artillery Fire,8/9/10
4/11/12,National Assembly,Shelling of Yeonpyeong Island,11/23/10
4/11/12,National Assembly,Short-Range Surface-to-Air Missile Launch,6/8/11
4/11/12,National Assembly,Anti-Ship Cruise Missile Launch,3/29/12
4/11/12,National Assembly,Satellite Launch / ICBM Test,4/13/12
12/19/12,Presidential,Satellite Launch / ICBM Test,12/12/12
12/19/12,Presidential,Nuclear Test,2/12/13
12/19/12,Presidential,Short-Range Ballistic Missile Launch,3/15/13
12/19/12,Presidential,Short-Range Ballistic Missile Launch,5/18/13
12/19/12,Presidential,Short-Range Ballistic Missile Launch,5/19/13
12/19/12,Presidential,Short-Range Ballistic Missile Launch,5/20/13
12/19/12,Presidential,Short-Range Ballistic Missile Launch,2/27/14
12/19/12,Presidential,Short-Range Ballistic Missile Launch,3/3/14
12/19/12,Presidential,Short-Range Ballistic Missile Launch,3/4/14
12/19/12,Presidential,Short-Range Ballistic Missile Launch,3/16/14
12/19/12,Presidential,Short-Range Ballistic Missile Launch,3/22/14
12/19/12,Presidential,Short-Range Ballistic Missile Launch,3/23/14
12/19/12,Presidential,Medium-Range Ballistic Missile Launch,3/26/14
12/19/12,Presidential,NLL Exchange of Fire,3/31/14
12/19/12,Presidential,NLL Exchange of Fire,5/22/14
12/19/12,Presidential,Short-Range Ballistic Missile Launch,6/26/14
12/19/12,Presidential,Short-Range Ballistic Missile Launch,6/29/14
12/19/12,Presidential,Short-Range Ballistic Missile Launch,7/2/14
12/19/12,Presidential,Short-Range Ballistic Missile Launch,7/9/14
12/19/12,Presidential,Short-Range Ballistic Missile Launch,7/13/14
12/19/12,Presidential,Short-Range Ballistic Missile Launch,7/26/14
12/19/12,Presidential,Short-Range Ballistic Missile Launch,8/14/14
4/13/16,National Assembly,Short-Range Ballistic Missile Launch,9/6/14
4/13/16,National Assembly,NLL Exchange of Fire,10/7/14
4/13/16,National Assembly,DMZ Exchange of Fire,10/10/14
4/13/16,National Assembly,DMZ Exchange of Fire,10/19/14
4/13/16,National Assembly,Anti-Ship Cruise Missile Launch,2/7/15
4/13/16,National Assembly,Short-Range Ballistic Missile Launch,2/8/15
4/13/16,National Assembly,Short-Range Ballistic Missile Launch,3/2/15
4/13/16,National Assembly,Short-Range Ballistic Missile Launch,3/13/15
4/13/16,National Assembly,Short-Range Ballistic Missile Launch,4/2/15
4/13/16,National Assembly,Short-Range Ballistic Missile Launch,4/3/15
4/13/16,National Assembly,Submarine Launched Ballistic Missile Launch,5/8/15
4/13/16,National Assembly,Anti-Ship Cruise Missile Launch,6/14/15
4/13/16,National Assembly,Land Mine Explosion,8/4/15
4/13/16,National Assembly,DMZ Exchange of Fire,8/20/15
4/13/16,National Assembly,Submarine Launched Ballistic Missile Launch,11/28/15
4/13/16,National Assembly,Nuclear Test,1/6/16
4/13/16,National Assembly,Satellite Launch / ICBM Test,2/7/16
4/13/16,National Assembly,Short-Range Ballistic Missile Launch,3/3/16
4/13/16,National Assembly,Short-Range Ballistic Missile Launch,3/10/16
4/13/16,National Assembly,Medium-range Ballistic Missile Launch,3/18/16
4/13/16,National Assembly,Short-Range Ballistic Missile Launch,3/21/16
4/13/16,National Assembly,Short-Range Ballistic Missile Launch,3/29/16
4/13/16,National Assembly,Long-Range Surface-to-Air Missile Launch,4/1/16
4/13/16,National Assembly,Submarine Launched Ballistic Missile Launch,4/6/16
4/13/16,National Assembly,Intermediate-Range Ballistic Missile Launch,4/15/16
4/13/16,National Assembly,Submarine Launched Ballistic Missile Launch,4/23/16
4/13/16,National Assembly,Intermediate-Range Ballistic Missile Launch,4/28/16
4/13/16,National Assembly,Intermediate-Range Ballistic Missile Launch,5/31/16
4/13/16,National Assembly,Intermediate-Range Ballistic Missile Launch,6/22/16
4/13/16,National Assembly,Submarine Launched Ballistic Missile Launch,7/9/16
4/13/16,National Assembly,Medium-Range Ballistic Missile Launch,7/19/16
4/13/16,National Assembly,Medium-Range Ballistic Missile Launch,8/3/16
4/13/16,National Assembly,Submarine Launched Ballistic Missile Launch,8/24/16
4/13/16,National Assembly,Medium-Range Ballistic Missile Launch,9/5/16
4/13/16,National Assembly,Nuclear Test,9/9/16
4/13/16,National Assembly,Intermediate-Range Ballistic Missile Launch,10/15/16
4/13/16,National Assembly,Intermediate-Range Ballistic Missile Launch,10/20/16
5/9/17,Presidential,Medium-Range Ballistic Missile Launch,2/12/17
5/9/17,Presidential,Short-Range Ballistic Missile Launch,3/6/17
5/9/17,Presidential,Failed Ballistic Missile Launch,3/22/17
5/9/17,Presidential,Medium-range Ballistic Missile Launch,4/5/17
5/9/17,Presidential,Failed Ballistic Missile Launch,4/16/17
5/9/17,Presidential,Medium-range Ballistic Missile Launch,4/29/17
5/9/17,Presidential,Intermediate-Range Ballistic Missile Launch,5/14/17
5/9/17,Presidential,Medium-range Ballistic Missile Launch,5/21/17
5/9/17,Presidential,Short-range Ballistic Missile Launch,5/29/17
4/15/20,National Assembly,Short-range Ballistic Missile Launch,3/2/20
4/15/20,National Assembly,Short-range Ballistic Missile Launch,3/6/20
4/15/20,National Assembly,Short-range Ballistic Missile Launch,3/21/20
4/15/20,National Assembly,Anti-Ship Cruise Missile Launch,4/14/20
4/15/20,National Assembly,Explosion at inter-Korean joint liaison office,6/16/20
4/15/20,National Assembly,Anti-Ship Cruise Missile Launch,7/6/20
